subgroup,date,approval,disapproval
Adults,2021-06-29,49.341733,42.554509
Adults,2021-06-30,50.49782,41.210705
Adults,2021-07-02,50.501211,41.28399
Adults,2021-07-03,50.501211,41.28399
Adults,2021-07-04,50.501211,41.28399
Adults,2021-07-01,49.599078,42.100237
Adults,2021-07-02,50.118673,40.326538
Adults,2021-07-05,50.501211,41.28399
Adults,2021-07-06,52.501211,40.78399
Adults,2021-07-04,56.097311,42.68849
Adults,2021-07-07,51.501211,41.28399
Adults,2021-07-08,51.501211,41.28399
Adults,2021-07-06,52.341733,39.554509
Adults,2021-07-09,51.501211,41.28399
Adults,2021-07-10,50.501211,41.28399
Adults,2021-07-11,50.501211,41.28399
Adults,2021-07-08,50.599078,43.100237
Adults,2021-07-12,50.501211,41.28399
Adults,2021-07-13,50.501211,41.28399
Adults,2021-07-13,52.501211,41.28399
Adults,2021-07-14,50.501211,41.28399
Adults,2021-07-15,50.501211,41.28399
Adults,2021-07-13,48.341733,42.554509
Adults,2021-07-16,50.501211,41.28399
Adults,2021-07-17,51.501211,41.28399
Adults,2021-07-21,49.216568,43.69264
Adults,2021-07-15,51.341733,41.554509
Adults,2021-07-15,51.599078,42.100237
Adults,2021-07-18,50.501211,41.28399
Adults,2021-07-16,52.240623,37.611887
Adults,2021-07-17,59.341733,41.554509
Adults,2021-07-19,52.001211,41.78399
Adults,2021-07-18,54.097311,44.68849
Adults,2021-07-19,55.40808,40.589001
Adults,2021-07-20,50.501211,42.28399
Adults,2021-07-18,51.501211,43.28399
Adults,2021-07-21,50.501211,42.28399
Adults,2021-07-20,51.434959,43.77438
Adults,2021-07-22,50.501211,42.28399
Adults,2021-07-20,49.341733,39.554509
Adults,2021-07-23,50.501211,42.28399
Adults,2021-07-24,50.501211,42.28399
Adults,2021-07-26,56.148352,41.926815
Adults,2021-07-22,52.599078,40.100237
Adults,2021-07-25,50.501211,42.28399
Adults,2021-07-26,50.501211,42.28399
Adults,2021-07-26,48.51906,43.186114
Adults,2021-07-27,50.501211,42.28399
Adults,2021-07-25,52.501211,42.28399
Adults,2021-07-28,50.501211,42.28399
Adults,2021-07-26,51.501211,43.28399
Adults,2021-07-29,50.045968,42.773975
Adults,2021-07-29,50.501211,42.28399
Adults,2021-07-27,47.341733,43.554509
Adults,2021-07-28,49.037663,44.210888
Adults,2021-07-30,50.501211,42.28399
Adults,2021-07-31,49.501211,42.28399
Adults,2021-07-30,52.118673,37.326538
Adults,2021-08-01,49.501211,42.28399
Adults,2021-07-29,52.599078,42.100237
Adults,2021-08-02,48.166807,42.195609
Adults,2021-08-02,49.501211,42.28399
Adults,2021-08-03,49.501211,43.28399
Adults,2021-08-02,51.501211,43.28399
Adults,2021-08-01,53.501211,41.28399
Adults,2021-08-01,53.097311,44.68849
Adults,2021-08-02,49.501211,45.28399
Adults,2021-08-02,49.341733,43.554509
Adults,2021-08-04,49.501211,42.28399
Adults,2021-08-02,51.501211,44.28399
Adults,2021-08-05,49.501211,42.28399
Adults,2021-08-03,50.341733,42.554509
Adults,2021-08-06,49.501211,42.28399
Adults,2021-08-07,49.501211,43.28399
Adults,2021-08-08,48.501211,43.28399
Adults,2021-08-05,48.599078,43.100237
Adults,2021-08-09,49.501211,43.28399
Adults,2021-08-10,49.501211,43.28399
Adults,2021-08-09,51.501211,43.28399
Adults,2021-08-11,49.501211,42.28399
Adults,2021-08-12,49.501211,42.28399
Adults,2021-08-10,47.341733,42.554509
Adults,2021-08-13,50.501211,42.28399
Adults,2021-08-17,48.216568,46.69264
Adults,2021-08-14,50.501211,42.28399
Adults,2021-08-13,54.501211,42.28399
Adults,2021-08-12,49.599078,43.100237
Adults,2021-08-15,50.501211,42.28399
Adults,2021-08-16,50.501211,42.28399
Adults,2021-08-15,53.501211,43.28399
Adults,2021-08-15,51.097311,46.68849
Adults,2021-08-17,50.501211,42.28399
Adults,2021-08-15,51.599078,41.100237
Adults,2021-08-16,50.40808,45.589001
Adults,2021-08-16,52.501211,43.78399
Adults,2021-08-16,52.501211,42.28399
Adults,2021-08-18,49.501211,43.28399
Adults,2021-08-16,44.599078,47.100237
Adults,2021-08-17,45.341733,43.554509
Adults,2021-08-16,50.957785,43.177383
Adults,2021-08-17,50.037663,47.210888
Adults,2021-08-19,49.501211,44.28399
Adults,2021-08-19,48.599078,44.100237
Adults,2021-08-20,49.501211,44.28399
Adults,2021-08-18,48.341733,45.554509
Adults,2021-08-18,46.661551,44.265664
Adults,2021-08-21,48.501211,44.28399
Adults,2021-08-22,48.501211,44.28399
Adults,2021-08-20,51.341733,49.554509
Adults,2021-08-19,44.599078,49.100237
Adults,2021-08-20,47.434959,46.77438
Adults,2021-08-23,48.501211,45.28399
Adults,2021-08-24,47.501211,45.28399
Adults,2021-08-23,50.501211,45.28399
Adults,2021-08-22,49.501211,47.28399
Adults,2021-08-25,47.501211,45.28399
Adults,2021-08-24,47.341733,43.554509
Adults,2021-08-26,47.501211,45.28399
Adults,2021-08-24,50.501211,45.28399
Adults,2021-08-25,49.501211,46.28399
Adults,2021-08-27,47.501211,45.28399
Adults,2021-08-28,47.501211,46.28399
Adults,2021-08-26,47.599078,46.100237
Adults,2021-08-29,47.501211,46.28399
Adults,2021-08-30,47.501211,46.28399
Adults,2021-08-28,51.501211,46.28399
Adults,2021-08-29,46.501211,47.28399
Adults,2021-08-31,46.501211,46.28399
Adults,2021-08-30,48.097311,48.68849
Adults,2021-08-31,44.045968,49.773975
Adults,2021-08-31,46.341733,43.554509
Adults,2021-09-01,45.341733,48.554509
Adults,2021-09-01,44.49782,50.210705
Adults,2021-09-02,44.599078,48.100237
Voters,2021-01-21,50.736315,39.268878
Voters,2021-01-21,56.362453,32.626111
Voters,2021-01-22,51.945862,32.001729
Voters,2021-01-21,53.945862,32.001729
Voters,2021-01-22,58.713892,38.262693
Voters,2021-01-24,50.736315,41.268878
Voters,2021-01-23,56.774918,33.757176
Voters,2021-01-24,54.90104,30.858186
Voters,2021-01-26,54.674405,32.688217
Voters,2021-01-25,50.736315,41.268878
Voters,2021-01-24,53.945862,35.001729
Voters,2021-01-25,56.147154,35.694461
Voters,2021-01-25,56.945862,33.001729
Voters,2021-01-26,50.736315,42.268878
Voters,2021-01-26,53.329668,35.232299
Voters,2021-01-27,51.736315,42.268878
Voters,2021-01-27,51.071613,35.444089
Voters,2021-01-28,52.736315,39.268878
Voters,2021-01-29,56.123028,32.818327
Voters,2021-01-31,51.736315,40.268878
Voters,2021-01-29,56.713892,40.262693
Voters,2021-01-30,56.774918,36.757176
Voters,2021-01-29,54.799924,36.628639
Voters,2021-02-01,53.736315,39.268878
Voters,2021-02-01,51.848728,35.964749
Voters,2021-02-01,52.644461,38.501791
Voters,2021-02-01,55.945862,36.001729
Voters,2021-02-01,53.945862,38.001729
Voters,2021-02-02,53.736315,41.268878
Voters,2021-02-02,51.329668,39.232299
Voters,2021-02-03,54.736315,40.268878
Voters,2021-02-04,51.736315,42.268878
Voters,2021-02-06,58.774918,33.757176
Voters,2021-02-07,52.736315,41.268878
Voters,2021-02-08,53.736315,40.268878
Voters,2021-02-07,56.945862,36.001729
Voters,2021-02-09,54.329668,39.232299
Voters,2021-02-09,53.736315,41.268878
Voters,2021-02-09,55.713892,41.262693
Voters,2021-02-10,52.736315,41.268878
Voters,2021-02-11,54.736315,39.268878
Voters,2021-02-13,55.774918,36.757176
Voters,2021-02-14,55.736315,37.268878
Voters,2021-02-15,55.644461,37.501791
Voters,2021-02-15,55.736315,38.268878
Voters,2021-02-14,53.848728,37.964749
Voters,2021-02-15,54.713892,42.262693
